trade_date,fruit_category,crop_name_zh,crop_code,market_code,market_name,high_price_twd_per_kg,mid_price_twd_per_kg,low_price_twd_per_kg,avg_price_twd_per_kg,volume_kg,price_unit,volume_unit
2017-01-01,apple,蘋果-其他進口,x09,104,台北二,166.7,149.6,120.0,147.1,900.0,TWD/kg,kg
2017-01-01,apple,蘋果-富士進口,X69,104,台北二,131.0,54.8,37.8,66.6,20306.0,TWD/kg,kg
2017-01-01,apple,蘋果-秋香進口,X29,104,台北二,66.7,64.2,62.2,64.3,1530.0,TWD/kg,kg
2017-01-01,apple,蘋果-金冠進口,X49,104,台北二,93.3,87.4,73.3,85.8,2120.0,TWD/kg,kg
2017-01-03,apple,蘋果-其他進口,x09,104,台北二,182.8,170.1,160.0,170.6,960.0,TWD/kg,kg
2017-01-03,apple,蘋果-富士進口,X69,104,台北二,139.8,58.9,44.8,72.2,18740.0,TWD/kg,kg
2017-01-04,apple,蘋果-其他進口,x09,104,台北二,178.7,173.3,173.3,174.4,500.0,TWD/kg,kg
2017-01-04,apple,蘋果-富士進口,X69,104,台北二,161.4,67.0,35.4,79.6,21810.0,TWD/kg,kg
2017-01-04,apple,蘋果-金冠進口,X49,104,台北二,100.0,100.0,100.0,100.0,610.0,TWD/kg,kg
2017-01-05,apple,蘋果-其他進口,x09,104,台北二,171.8,160.0,160.0,162.4,900.0,TWD/kg,kg
2017-01-05,apple,蘋果-富士進口,X69,104,台北二,155.4,77.0,36.4,84.6,31436.0,TWD/kg,kg
2017-01-05,apple,蘋果-秋香進口,X29,104,台北二,66.7,53.5,50.0,55.4,450.0,TWD/kg,kg
2017-01-05,apple,蘋果-紅玉進口,X59,104,台北二,226.7,210.2,186.7,208.8,895.0,TWD/kg,kg
2017-01-05,apple,蘋果-金冠進口,X49,104,台北二,80.0,71.1,60.0,70.7,1500.0,TWD/kg,kg
2017-01-06,apple,蘋果-其他進口,x09,104,台北二,165.9,154.9,139.1,153.9,2120.0,TWD/kg,kg
2017-01-06,apple,蘋果-富士進口,X69,104,台北二,157.6,74.8,36.5,83.8,34756.0,TWD/kg,kg
2017-01-06,apple,蘋果-秋香進口,X29,104,台北二,66.7,66.7,65.3,66.4,1395.0,TWD/kg,kg
2017-01-06,apple,蘋果-紅玉進口,X59,104,台北二,200.0,179.3,146.7,176.9,2200.0,TWD/kg,kg
2017-01-06,apple,蘋果-金冠進口,X49,104,台北二,100.0,76.7,60.0,78.0,710.0,TWD/kg,kg
2017-01-07,apple,蘋果-其他進口,x09,104,台北二,156.7,143.8,140.0,145.6,500.0,TWD/kg,kg
2017-01-07,apple,蘋果-富士進口,X69,104,台北二,151.2,78.9,41.1,85.8,33740.0,TWD/kg,kg
2017-01-07,apple,蘋果-秋香進口,X29,104,台北二,80.0,69.1,61.4,69.7,635.0,TWD/kg,kg
2017-01-07,apple,蘋果-金冠進口,X49,104,台北二,60.0,60.0,60.0,60.0,860.0,TWD/kg,kg
2017-01-08,apple,蘋果-其他進口,x09,104,台北二,186.7,163.6,133.3,162.2,370.0,TWD/kg,kg
2017-01-08,apple,蘋果-富士進口,X69,104,台北二,152.0,87.8,44.3,91.9,24120.0,TWD/kg,kg
2017-01-08,apple,蘋果-秋香進口,X29,104,台北二,93.3,78.5,57.8,77.3,200.0,TWD/kg,kg
2017-01-08,apple,蘋果-紅玉進口,X59,104,台北二,213.3,192.8,186.7,195.7,200.0,TWD/kg,kg
2017-01-08,apple,蘋果-金冠進口,X49,104,台北二,86.7,86.7,86.7,86.7,480.0,TWD/kg,kg
2017-01-10,apple,蘋果-其他進口,x09,104,台北二,159.4,152.6,143.1,152.1,1210.0,TWD/kg,kg
2017-01-10,apple,蘋果-富士進口,X69,104,台北二,160.2,79.5,39.4,87.6,42790.0,TWD/kg,kg
2017-01-10,apple,蘋果-秋香進口,X29,104,台北二,62.2,62.2,62.2,62.2,135.0,TWD/kg,kg
2017-01-10,apple,蘋果-金冠進口,X49,104,台北二,100.0,100.0,100.0,100.0,510.0,TWD/kg,kg
2017-01-11,apple,蘋果-其他進口,x09,104,台北二,166.7,163.8,160.0,163.6,650.0,TWD/kg,kg
2017-01-11,apple,蘋果-富士進口,X69,104,台北二,156.1,90.7,36.4,92.9,33169.0,TWD/kg,kg
2017-01-11,apple,蘋果-秋香進口,X29,104,台北二,66.7,64.6,57.8,63.6,525.0,TWD/kg,kg
2017-01-11,apple,蘋果-金冠進口,X49,104,台北二,86.7,83.3,80.0,83.3,1000.0,TWD/kg,kg
2017-01-12,apple,蘋果-其他進口,x09,104,台北二,171.5,133.6,66.7,127.8,2460.0,TWD/kg,kg
2017-01-12,apple,蘋果-富士進口,X69,104,台北二,162.9,97.2,47.0,100.3,26830.0,TWD/kg,kg
2017-01-12,apple,蘋果-秋香進口,X29,104,台北二,62.2,62.2,62.2,62.2,45.0,TWD/kg,kg
2017-01-12,apple,蘋果-紅玉進口,X59,104,台北二,228.1,191.6,186.7,197.9,535.0,TWD/kg,kg
2017-01-13,apple,蘋果-富士進口,X69,104,台北二,167.5,115.0,43.5,111.2,23157.0,TWD/kg,kg
2017-01-13,apple,蘋果-秋香進口,X29,104,台北二,62.2,62.2,62.2,62.2,15.0,TWD/kg,kg
2017-01-13,apple,蘋果-紅玉進口,X59,104,台北二,226.7,213.3,200.0,213.3,135.0,TWD/kg,kg
2017-01-13,apple,蘋果-金冠進口,X49,104,台北二,80.0,43.3,33.3,48.7,1460.0,TWD/kg,kg
2017-01-14,apple,蘋果-其他,X0,104,台北二,60.0,60.0,60.0,60.0,18.0,TWD/kg,kg
2017-01-14,apple,蘋果-其他進口,x09,104,台北二,133.3,133.3,133.3,133.3,230.0,TWD/kg,kg
2017-01-14,apple,蘋果-富士進口,X69,104,台北二,160.1,97.8,40.3,98.7,41430.0,TWD/kg,kg
2017-01-14,apple,蘋果-紅玉進口,X59,104,台北二,226.7,221.7,200.0,218.3,1870.0,TWD/kg,kg
2017-01-15,apple,蘋果-其他進口,x09,104,台北二,160.0,160.0,160.0,160.0,480.0,TWD/kg,kg
2017-01-15,apple,蘋果-富士進口,X69,104,台北二,180.4,67.0,37.2,83.7,21750.0,TWD/kg,kg
2017-01-15,apple,蘋果-金冠進口,X49,104,台北二,33.3,33.3,33.3,33.3,80.0,TWD/kg,kg
2017-01-17,apple,蘋果-其他進口,x09,104,台北二,166.7,166.7,157.6,164.9,770.0,TWD/kg,kg
2017-01-17,apple,蘋果-富士進口,X69,104,台北二,170.3,120.2,45.1,115.2,41030.0,TWD/kg,kg
2017-01-17,apple,蘋果-金冠進口,X49,104,台北二,86.7,83.3,80.0,83.3,960.0,TWD/kg,kg
2017-01-18,apple,蘋果-其他進口,x09,104,台北二,166.7,158.9,146.7,158.0,960.0,TWD/kg,kg
2017-01-18,apple,蘋果-富士進口,X69,104,台北二,179.6,102.3,43.7,106.0,25910.0,TWD/kg,kg
2017-01-19,apple,蘋果-其他進口,x09,104,台北二,174.4,166.2,155.6,165.7,3150.0,TWD/kg,kg
2017-01-19,apple,蘋果-富士進口,X69,104,台北二,175.7,101.6,49.5,106.0,33320.0,TWD/kg,kg
2017-01-19,apple,蘋果-秋香進口,X29,104,台北二,86.7,86.7,86.7,86.7,200.0,TWD/kg,kg
2017-01-19,apple,蘋果-紅玉進口,X59,104,台北二,200.0,200.0,200.0,200.0,300.0,TWD/kg,kg
2017-01-20,apple,蘋果-其他進口,x09,104,台北二,183.2,177.0,166.3,176.1,4740.0,TWD/kg,kg
2017-01-20,apple,蘋果-富士進口,X69,104,台北二,179.5,124.5,47.2,120.1,43840.0,TWD/kg,kg
