date,fruit_name,risk_level,forecast_price,period_demand_kg,purchase_cap_kg,safety_stock_target_kg,recommended_quantity_kg,ending_inventory_kg,procurement_change_kg,purchase_cost,risk_penalty_cost,holding_cost,stability_penalty_cost,strategy
2026-05-01,Apple,low,58.2399,120.0,192.0,30.0,150.0,30.0,0.0,8735.99,139.78,3.49,0.0,线性规划结果：在低风险或低价期前置采购并保留库存
2026-05-01,Banana,medium,67.456,115.0,155.25,11.5,126.5,11.5,0.0,8533.18,409.59,1.55,0.0,线性规划结果：适度前置采购以降低后续成本
2026-05-01,Grape,high,116.9297,75.0,82.5,0.0,75.0,0.0,0.0,8769.73,561.26,0.0,0.0,线性规划结果：高风险品类以按需分批采购为主
2026-05-01,Orange,low,41.1378,105.0,168.0,26.25,131.25,26.25,0.0,5399.34,172.78,2.17,0.0,线性规划结果：在低风险或低价期前置采购并保留库存
2026-05-01,Pear,high,64.3565,100.0,110.0,0.0,100.0,0.0,0.0,6435.65,514.85,0.0,0.0,线性规划结果：高风险品类以按需分批采购为主
2026-05-08,Apple,low,58.2399,120.0,192.0,30.0,120.0,30.0,30.0,6988.79,111.82,3.49,52.42,线性规划结果：在低风险或低价期前置采购并保留库存
2026-05-08,Banana,medium,67.456,115.0,155.25,11.5,115.0,11.5,11.5,7757.44,372.36,1.55,23.27,线性规划结果：按周滚动采购并控制库存
2026-05-08,Grape,high,116.9921,75.0,82.5,0.0,75.0,0.0,0.0,8774.41,561.56,0.0,0.0,线性规划结果：高风险品类以按需分批采购为主
2026-05-08,Orange,low,41.2079,105.0,168.0,26.25,131.25,52.5,0.0,5408.54,173.07,4.34,0.0,线性规划结果：在低风险或低价期前置采购并保留库存
2026-05-08,Pear,high,64.3381,100.0,110.0,0.0,100.0,0.0,0.0,6433.81,514.7,0.0,0.0,线性规划结果：高风险品类以按需分批采购为主
2026-05-15,Apple,low,58.2399,120.0,192.0,30.0,120.0,30.0,0.0,6988.79,111.82,3.49,0.0,线性规划结果：在低风险或低价期前置采购并保留库存
2026-05-15,Banana,medium,67.456,115.0,155.25,11.5,115.0,11.5,0.0,7757.44,372.36,1.55,0.0,线性规划结果：按周滚动采购并控制库存
2026-05-15,Grape,high,117.0022,75.0,82.5,0.0,75.0,0.0,0.0,8775.17,561.61,0.0,0.0,线性规划结果：高风险品类以按需分批采购为主
2026-05-15,Orange,low,41.5153,105.0,168.0,26.25,78.75,26.25,52.5,3269.33,104.62,2.17,65.07,线性规划结果：在低风险或低价期前置采购并保留库存
2026-05-15,Pear,high,64.3197,100.0,110.0,0.0,100.0,0.0,0.0,6431.97,514.56,0.0,0.0,线性规划结果：高风险品类以按需分批采购为主
2026-05-22,Apple,low,58.2399,120.0,192.0,0.0,90.0,0.0,30.0,5241.59,83.87,0.0,52.42,线性规划结果：按周滚动采购并控制库存
2026-05-22,Banana,medium,67.456,115.0,155.25,0.0,103.5,0.0,11.5,6981.7,335.12,0.0,23.27,线性规划结果：按周滚动采购并控制库存
2026-05-22,Grape,high,117.0017,75.0,82.5,0.0,75.0,0.0,0.0,8775.13,561.61,0.0,0.0,线性规划结果：高风险品类以按需分批采购为主
2026-05-22,Orange,low,41.4077,105.0,168.0,0.0,78.75,0.0,0.0,3260.86,104.35,0.0,0.0,线性规划结果：按周滚动采购并控制库存
2026-05-22,Pear,high,64.3013,100.0,110.0,0.0,100.0,0.0,0.0,6430.13,514.41,0.0,0.0,线性规划结果：高风险品类以按需分批采购为主
