date,fruit_name,forecast_price,risk_level,composite_risk_score,recommended_quantity_kg,strategy
2026-05-01,Apple,58.2399,low,-0.8992,132.0,稳定采购，低价期可适度多采
2026-05-01,Banana,67.456,medium,-0.2461,115.0,按预测价格灵活调整采购
2026-05-01,Grape,116.9297,high,-0.2229,63.75,分批采购，缩短采购周期
2026-05-01,Orange,41.1378,low,-0.4658,115.5,稳定采购，低价期可适度多采
2026-05-01,Pear,64.3565,high,1.8342,85.0,分批采购，缩短采购周期
2026-05-08,Apple,58.2399,low,-0.8992,132.0,稳定采购，低价期可适度多采
2026-05-08,Banana,67.456,medium,-0.2461,115.0,按预测价格灵活调整采购
2026-05-08,Grape,116.9921,high,-0.2229,63.75,分批采购，缩短采购周期
2026-05-08,Orange,41.2079,low,-0.4658,115.5,稳定采购，低价期可适度多采
2026-05-08,Pear,64.3381,high,1.8342,85.0,分批采购，缩短采购周期
2026-05-15,Apple,58.2399,low,-0.8992,132.0,稳定采购，低价期可适度多采
2026-05-15,Banana,67.456,medium,-0.2461,115.0,按预测价格灵活调整采购
2026-05-15,Grape,117.0022,high,-0.2229,63.75,分批采购，缩短采购周期
2026-05-15,Orange,41.5153,low,-0.4658,115.5,稳定采购，低价期可适度多采
2026-05-15,Pear,64.3197,high,1.8342,85.0,分批采购，缩短采购周期
2026-05-22,Apple,58.2399,low,-0.8992,132.0,稳定采购，低价期可适度多采
2026-05-22,Banana,67.456,medium,-0.2461,115.0,按预测价格灵活调整采购
2026-05-22,Grape,117.0017,high,-0.2229,63.75,分批采购，缩短采购周期
2026-05-22,Orange,41.4077,low,-0.4658,115.5,稳定采购，低价期可适度多采
2026-05-22,Pear,64.3013,high,1.8342,85.0,分批采购，缩短采购周期
