fruit_name,avg_price,std_price,coefficient_of_variation,max_drawdown,avg_return,return_volatility
Lime,299.0247,173.4314,0.58,0.9525,0.0055,0.1399
Pear,152.0272,86.3263,0.5678,0.9222,0.1467,0.7605
Guava,96.5061,52.6404,0.5455,0.8103,0.0112,0.1559
Grapes,204.7565,102.9105,0.5026,0.832,0.0608,0.3732
Sweet Lime,88.8043,43.9968,0.4954,0.5769,0.0849,0.2941
Apple,177.0843,78.2524,0.4419,0.7264,0.0272,0.2477
Mango,119.2307,52.4896,0.4402,0.8767,0.0237,0.2483
Watermelon,49.1801,16.9658,0.345,0.8714,0.0044,0.0969
Orange,115.4618,38.6294,0.3346,0.8293,0.0334,0.2766
Avocado,406.1706,122.8913,0.3026,0.6538,0.0017,0.0607
Pomegranate,240.6106,70.3891,0.2925,0.8283,0.003,0.0821
Lemon,46.3387,12.54,0.2706,0.5909,0.0038,0.0851
Amla,85.5032,21.9692,0.2569,0.6452,0.0045,0.0994
Papaya,77.5065,19.5287,0.252,0.8043,0.0228,0.2238
