fruit_name,month,avg_price
Apple,1,96.1727
Apple,2,72.695
Apple,3,63.4225
Apple,4,65.1562
Apple,5,57.2485
Apple,6,54.7331
Apple,7,51.2787
Apple,8,54.119
Apple,9,56.1392
Apple,10,64.8701
Apple,11,69.7394
Apple,12,73.969
Banana,1,51.2445
Banana,2,54.2432
Banana,3,50.8516
Banana,4,45.7428
Banana,5,39.3833
Banana,6,31.0735
Banana,7,25.1487
Banana,8,31.0138
Banana,9,27.7961
Banana,10,29.4443
Banana,11,35.2714
Banana,12,39.4838
Grape,1,101.1954
Grape,2,94.1779
Grape,3,89.2083
Grape,4,87.5582
Grape,5,101.9569
Grape,6,86.2687
Grape,7,82.6439
Grape,8,146.1969
Grape,9,212.4077
Grape,10,150.6424
Grape,11,122.814
Grape,12,99.6131
Orange,1,29.7732
Orange,2,34.7564
Orange,3,39.8458
Orange,4,39.2545
Orange,5,29.5029
Orange,6,18.7
Orange,8,14.1062
Orange,9,20.2013
Orange,10,25.5641
Orange,11,26.5764
Orange,12,26.7441
Pear,1,69.7151
Pear,2,74.031
Pear,3,70.7824
Pear,4,84.0486
Pear,5,80.751
Pear,6,69.5443
Pear,7,53.277
Pear,8,55.3635
Pear,9,70.7385
Pear,10,66.1812
Pear,11,65.4425
Pear,12,51.122
